Episode,Discounted_G,Total_Reward,Epsilon
1,-12.6893,-16.3245,1.0
2,-32.9986,-35.737,0.985
3,1.2161,1.6095,0.9702
4,2.897,3.3,0.9557
5,-27.3691,-33.273,0.9413
6,-25.5327,-30.0455,0.9272
7,-0.3916,-0.2455,0.9133
8,0.3396,1.126,0.8996
9,-39.1446,-42.128,0.8861
10,-3.1464,-3.422,0.8728
11,1.2912,1.625,0.8597
12,-5.6113,-6.591,0.8468
13,-18.0501,-19.9715,0.8341
14,-14.9553,-16.865,0.8216
15,-18.7184,-20.7845,0.8093
16,-7.8884,-9.632,0.7972
17,2.8194,3.0405,0.7852
18,-12.5289,-14.9255,0.7734
19,-12.6048,-13.411,0.7618
20,-10.7552,-12.368,0.7504
21,-16.4661,-19.6235,0.7391
22,0.6768,0.798,0.728
23,-25.0268,-28.0625,0.7171
24,-13.7903,-14.624,0.7064
25,-7.3945,-8.961,0.6958
26,0.5837,0.553,0.6853
27,-20.7374,-23.325,0.6751
28,-25.2817,-30.105,0.6649
29,-10.9528,-11.665,0.655
30,-13.4818,-15.6145,0.6451
31,-29.5159,-35.274,0.6355
32,-17.1024,-19.585,0.6259
33,-18.2419,-21.0855,0.6165
34,0.8141,0.9055,0.6073
35,-15.2842,-16.505,0.5982
36,-4.5676,-5.1595,0.5892
37,-3.4042,-3.28,0.5804
38,-5.9744,-6.4905,0.5717
39,-15.9194,-18.7935,0.5631
40,-9.9245,-12.1675,0.5546
41,-13.099,-15.397,0.5463
42,0.2307,0.2585,0.5381
43,-9.3835,-10.622,0.5301
44,-9.0574,-11.4635,0.5221
45,0.4606,0.655,0.5143
46,-0.2832,-0.3285,0.5066
47,-12.9541,-13.7375,0.499
48,-6.8413,-8.6885,0.4915
49,1.5806,1.8165,0.4841
50,-40.9245,-50.497,0.4768
51,-12.973,-17.3225,0.4697
52,-0.159,-0.1835,0.4626
53,-5.2759,-6.7965,0.4557
54,-20.5661,-22.259,0.4489
55,-20.3158,-21.1025,0.4421
56,1.4927,1.655,0.4355
57,-7.4344,-9.909,0.429
58,-2.7378,-5.0805,0.4225
59,-10.0662,-12.4815,0.4162
60,-14.8478,-16.86,0.41
61,-16.0637,-16.429,0.4038
62,-11.714,-13.7235,0.3977
63,-12.536,-15.6475,0.3918
64,-4.4935,-4.698,0.3859
65,-8.0403,-9.5785,0.3801
66,-8.581,-10.357,0.3744
67,-13.4266,-17.2715,0.3688
68,-3.4797,-4.0335,0.3633
69,1.4072,1.8045,0.3578
70,-8.0049,-9.031,0.3525
71,-19.8488,-21.6775,0.3472
72,0.0526,0.033,0.342
73,-6.2821,-6.8955,0.3368
74,-23.4497,-28.2355,0.3318
75,-0.2302,-0.27,0.3268
76,-14.6127,-15.9785,0.3219
77,-16.3404,-16.8385,0.3171
78,-11.917,-14.069,0.3123
79,-19.2415,-21.735,0.3076
80,0.1635,0.213,0.303
81,0.0155,-0.0,0.2985
82,-9.0591,-10.517,0.294
83,0.6723,0.7295,0.2896
84,-6.1868,-6.414,0.2852
85,-14.7253,-16.917,0.281
86,-5.3841,-5.9935,0.2767
87,-15.7375,-20.7855,0.2726
88,-19.2779,-22.0035,0.2685
89,0.2589,0.3535,0.2645
90,-7.6641,-8.7145,0.2605
91,0.2035,0.2585,0.2566
92,-3.4606,-4.206,0.2528
93,0.5585,0.65,0.249
94,-5.8843,-6.376,0.2452
95,0.5917,0.609,0.2415
96,1.4169,1.572,0.2379
97,-22.6388,-25.8065,0.2344
98,-33.8369,-35.065,0.2308
99,0.4738,0.6135,0.2274
100,1.293,1.382,0.224
101,-13.9178,-15.093,0.2206
102,-5.3634,-6.8555,0.2173
103,-14.4112,-16.55,0.214
104,-6.0467,-6.276,0.2108
105,-0.2562,-0.3075,0.2077
106,2.5651,2.771,0.2046
107,-15.0605,-16.5055,0.2015
108,-32.0301,-35.81,0.1985
109,0.3268,0.303,0.1955
110,0.8939,0.9755,0.1926
111,-8.4552,-10.534,0.1897
112,-14.0694,-16.373,0.1868
113,-11.4333,-13.8405,0.184
114,-6.146,-6.3295,0.1813
115,-8.1524,-9.6345,0.1785
116,-12.839,-13.6885,0.1759
117,4.8614,6.674,0.1732
118,-2.2102,-2.821,0.1706
119,4.3265,4.071,0.1681
120,1.7856,2.0555,0.1655
121,-13.3836,-16.6655,0.1631
122,-0.0158,0.0015,0.1606
123,-7.5418,-9.4485,0.1582
124,-7.5971,-10.0705,0.1558
125,12.3423,13.886,0.1535
126,-17.3132,-22.2975,0.1512
127,4.4515,5.4645,0.1489
128,2.3515,4.7815,0.1467
129,-5.2117,-5.323,0.1445
130,6.0291,7.246,0.1423
131,-2.3857,-3.426,0.1402
132,0.3796,0.4315,0.1381
133,-13.1586,-14.8525,0.136
134,-0.1638,-0.1985,0.134
135,-3.7512,-4.7105,0.132
136,-38.6968,-45.628,0.13
137,0.8395,0.9425,0.128
138,0.7364,0.7965,0.1261
139,-60.5412,-67.804,0.1242
140,-4.1974,-4.597,0.1224
141,-0.3305,-0.3785,0.1205
142,-18.3252,-20.347,0.1187
143,-13.4443,-17.7925,0.1169
144,-4.3928,-5.947,0.1152
145,-5.1714,-5.9415,0.1135
146,0.878,0.87,0.1118
147,0.5441,0.627,0.1101
148,-0.0185,-0.02,0.1084
149,-19.8509,-22.627,0.1068
150,-0.1576,-0.1815,0.1052
151,-1.3169,-1.089,0.1036
152,-3.7431,-3.428,0.1021
153,1.2393,1.0535,0.1005
154,0.7746,1.0805,0.099
155,-42.9323,-48.4525,0.0975
156,-0.4062,-0.4835,0.0961
157,-22.1716,-24.2835,0.0946
158,-31.2006,-36.038,0.0932
159,-15.1256,-19.8375,0.0918
160,-4.7981,-5.873,0.0904
161,8.5871,9.419,0.0891
162,-4.4027,-4.6435,0.0877
